Protein_IDs	Majority_protein_IDs	Peptide_counts_all	Peptide_counts_razor_unique	Peptide_counts_unique	Fasta_headers	Number_of_proteins	Peptides	Razor_unique_peptides	Unique_peptides	Peptides_C_R1	Peptides_C_R2	Peptides_C_R3	Peptides_D_R1	Peptides_D_R2	Peptides_D_R3	Razor_unique_peptides_C_R1	Razor_unique_peptides_C_R2	Razor_unique_peptides_C_R3	Razor_unique.peptides_D_R1	Razor_unique_peptides_D_R2	Razor_unique_peptides_D_R3	Unique_peptides_C_R1	Unique_peptides_C_R2	Unique_peptides_C_R3	Unique_peptides_D_R1	Unique_peptides_D_R2	Unique_peptides_D_R3	Sequence_coverage	Unique_razor_sequence_coverage	Unique_sequence_coverage	Mol_weight_kDa	Sequence_length	Sequence_lengths	Q_value	Identification_type_C_R1	Identification_type_C_R2	Identification_type_C_R3	Identification_type_D_R1	Identification_type_D_R2	Identification_type_D_R3	Sequence_coverage_C_R1	Sequence_coverage_C_R2	Sequence_coverage_C_R3	Sequence_coverage_D_R1_	Sequence_coverage_D_R2	Sequence_coverage_D_R3	Intensity	Intensity_C_R1	Intensity_C_R2	Intensity_C_R3	Intensity_D_R1	Intensity_D_R2	Intensity_D_R3	iBAQ	iBAQ_C_R1	iBAQ_C_R2	iBAQ_C_R3	iBAQ_D_R1	iBAQ_D_R2	iBAQ_D_R3	LFQ_intensity_C_R1	LFQ_intensity_C_R2	LFQ_intensity_C_R3	LFQ_intensity_D_R1	LFQ_intensity_D_R2	LFQ_intensity_D_R3	MS_MS_Count_C_R1	MS_MS_Count_C_R2	MS_MS_Count_C_R3	MS_MS_Count_D_R1	MS.MS_Count_D_R2	MS_MS_Count_D_R3	MS_MS_Count	Only_identified_by_site	Reverse	Potential_contaminant	id	Peptide_IDs	Peptide_is_razor	Mod_peptide_IDs	Evidence_IDs	MS_MS_IDs	Best_MS_MS	Oxidation_M_site_IDs	Oxidation_M_site_positions
CON__A2I7N1	"CON__A2I7N1;CON__A2I7N0"	"1;1"	"1;1"	"1;1"	">A2I7N1 TREMBL:A2I7N1 (Bos taurus) SERPINA3-5;>A2I7N0 TREMBL:A2I7N0;Q28922;Q3ZEJ6 (Bos taurus) SERPINA3-4"	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	46.397	411	"411;411"	0.0035351	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	2.9	2.9	2.9	2.9	2.9	2.9	15192000	2635800	2572200	2702600	2610000	1956000	2715600	759610	131790	128610	135130	130500	97799	135780	0	0	0	0	0	2730900	1	1	1	0	0	1	4			+	0	4305	True	4335	"28700;28701;28702;28703;28704;28705"	"40216;40217;40218;40219;40220;40221"	40218		
CON__P00761	CON__P00761	5	5	5	>P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	31.6	31.6	31.6	24.409	231	231	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	31.6	31.6	31.6	31.6	31.6	31.6	3.603e+10	6057800000	5844400000	6082300000	6148700000	5778100000	6.119e+09	3275500000	550710000	531310000	552930000	558980000	525280000	556270000	5998400000	5967500000	5.686e+09	6123600000	6209800000	6085800000	20	17	20	18	20	21	116			+	1	"5580;6380;7225;12077;12094"	"True;True;True;True;True"	"5616;6421;6422;7269;12166;12183"	"36866;36867;36868;36869;36870;36871;36872;36873;36874;36875;36876;36877;36878;36879;36880;36881;42212;42213;42214;42215;42216;42217;42218;42219;42220;42221;47811;47812;47813;47814;47815;47816;80288;80289;80290;80291;80292;80293;80294;80295;80296;80297;80298;80299;80300;80301;80403;80404;80405;80406;80407;80408;80409;80410"	"51673;51674;51675;51676;51677;51678;51679;51680;51681;51682;51683;51684;51685;51686;51687;51688;51689;51690;51691;51692;51693;51694;51695;51696;51697;51698;51699;51700;51701;51702;51703;51704;51705;51706;51707;51708;59041;59042;59043;59044;59045;59046;59047;59048;59049;59050;59051;59052;59053;59054;59055;59056;66564;66565;66566;66567;66568;66569;66570;66571;66572;66573;66574;66575;66576;66577;66578;66579;66580;66581;66582;66583;111854;111855;111856;111857;111858;111859;111860;111861;111862;111863;111864;111865;111866;111867;111868;111869;111870;111871;111872;111873;111874;111875;111876;111877;111878;111879;111880;111881;111882;111883;111884;111885;111886;111887;111888;111889;111890;111891;111892;112014;112015;112016;112017;112018;112019;112020;112021"	"51690;59055;66568;111856;112015"	0	94
P02768	"P02768upsedyp|ALBU_HUMAN_upsedyp;CON__P02768-1"	"21;21;3;1"	"21;21;3;1"	"21;21;3;1"	">P02768upsedyp|ALBU_HUMAN_upsedyp Serum albumin (Chain 26-609) - Homo sapiens (Human);>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor"	4	21	21	21	20	20	21	19	17	17	20	20	21	19	17	17	20	20	21	19	17	17	41.4	41.4	41.4	66.356	584	"584;609;607;610"	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	39.9	39.9	41.4	37.8	34.9	33.7	1.097e+10	2712500000	2607200000	2871800000	935690000	902170000	940240000	313420000	77500000	74491000	82050000	26734000	25776000	26864000	2596500000	2592100000	2577400000	954530000	943950000	966820000	47	46	48	27	28	30	226			+	2	"28;990;1096;1552;1956;2879;3513;3594;4929;6485;7450;7592;8022;9372;9488;9688;10147;10275;12255;13572;13686"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"28;999;1000;1106;1564;1973;2899;3537;3618;4963;6527;7495;7637;8068;9443;9559;9759;10221;10222;10350;12346;13668;13782"	"193;194;195;196;197;198;7219;7220;7221;7222;7223;7224;7225;7226;7227;7228;7229;7230;7231;7232;7233;7234;7235;7991;11018;11019;11020;11021;11022;13459;13460;13461;13462;13463;19340;19341;19342;19343;23676;23677;23678;23679;23680;23681;23682;23683;23684;24224;24225;24226;24227;24228;24229;32841;32842;32843;32844;32845;42985;42986;42987;42988;42989;42990;42991;49203;49204;49205;49206;49207;49208;49209;49210;49211;49212;49213;49214;50168;50169;50170;50171;50172;50173;50174;53166;53167;53168;53169;53170;53171;53172;53173;53174;53175;53176;53177;53178;61843;61844;61845;61846;61847;61848;61849;61850;61851;61852;61853;61854;61855;61856;61857;61858;61859;61860;62618;62619;62620;62621;62622;62623;64043;64044;64045;64046;67125;67126;67127;67128;67129;67130;67131;67913;67914;67915;67916;67917;67918;67919;67920;67921;67922;67923;67924;67925;81545;81546;81547;81548;81549;81550;81551;81552;81553;81554;81555;81556;90865;90866;90867;90868;90869;90870;90871;90872;91549;91550;91551;91552;91553;91554"	"301;302;303;304;305;306;307;308;309;310;311;312;313;314;10710;10711;10712;10713;10714;10715;10716;10717;10718;10719;10720;10721;10722;10723;10724;10725;10726;10727;10728;10729;10730;10731;10732;10733;11891;11892;15909;15910;15911;19144;19145;19146;19147;19148;27352;27353;27354;33479;33480;33481;33482;33483;33484;34261;34262;34263;34264;34265;34266;34267;46206;46207;46208;46209;46210;46211;59999;60000;68372;68373;68374;68375;68376;68377;68378;68379;68380;68381;68382;68383;68384;69790;69791;69792;69793;69794;69795;69796;69797;69798;69799;69800;73851;73852;73853;73854;73855;73856;73857;73858;73859;73860;73861;73862;73863;73864;73865;73866;73867;73868;73869;73870;73871;73872;73873;73874;73875;73876;85556;85557;85558;85559;85560;85561;85562;85563;85564;85565;85566;85567;85568;85569;85570;85571;85572;85573;85574;85575;85576;85577;85578;85579;85580;85581;85582;85583;86571;86572;86573;86574;86575;86576;86577;86578;88318;88319;92944;92945;92946;92947;92948;92949;92950;92951;92952;92953;92954;92955;92956;92957;94060;94061;94062;94063;94064;94065;113752;113753;113754;113755;113756;113757;113758;113759;113760;113761;113762;113763;113764;113765;113766;113767;113768;113769;113770;113771;113772;113773;113774;113775;113776;113777;113778;113779;127298;127299;127300;127301;127302;127303;127304;127305;127306;127307;127308;127309;127310;127311;127312;127313;128361;128362;128363;128364;128365;128366;128367;128368"	"313;10733;11892;15910;19146;27353;33483;34266;46210;60000;68379;69796;73859;85575;86575;88319;92946;94065;113757;127298;128362"	"1;2;3"	"297;328;547"
CON__P04264	CON__P04264	"9;2;1;1;1;1"	"9;2;1;1;1;1"	"7;1;0;0;0;0"	>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	6	9	9	7	6	7	7	4	6	6	6	7	7	4	6	6	4	5	5	3	4	4	18.3	18.3	15.2	66.017	644	"644;606;524;539;572;578"	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	10.1	15.1	11.8	6.5	10.2	10.2	321900000	52300000	69411000	77392000	30115000	46701000	45982000	10384000	1687100	2239000	2496500	971450	1506500	1483300	74902000	61551000	66764000	40950000	43906000	35559000	3	5	4	1	1	2	16			+	3	"167;3389;4040;5277;6545;10330;11600;13167;13437"	"True;True;True;True;True;True;True;True;True"	"169;3412;4067;5311;6587;10406;11686;13262;13533"	"1194;22887;22888;22889;22890;22891;26969;26970;34978;34979;34980;34981;34982;34983;34984;43379;43380;43381;43382;43383;43384;68254;68255;68256;68257;68258;68259;68260;77021;88159;88160;88161;88162;89917;89918;89919;89920;89921;89922"	"1718;32372;32373;32374;32375;38019;38020;38021;49020;49021;49022;49023;49024;49025;60563;60564;94466;94467;94468;94469;94470;94471;94472;94473;107052;123664;123665;125972;125973"	"1718;32373;38019;49023;60564;94468;107052;123665;125972"		
CON__P07477	CON__P07477	1	1	1	>P07477 SWISS-PROT:P07477 Tax_Id=9606 Gene_Symbol=PRSS1 Trypsin-1 precursor	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.1	8.1	8.1	26.558	247	247	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	8.1	8.1	8.1	8.1	8.1	8.1	3956400000	659940000	689220000	622810000	678800000	671920000	633660000	494540000	82493000	86152000	77852000	84850000	83990000	79207000	710430000	722590000	569700000	651280000	696050000	638570000	5	4	4	4	4	4	25			+	4	5581	True	5617	"36882;36883;36884;36885;36886;36887;36888;36889;36890;36891;36892;36893"	"51709;51710;51711;51712;51713;51714;51715;51716;51717;51718;51719;51720;51721;51722;51723;51724;51725;51726;51727;51728;51729;51730;51731;51732;51733"	51731		
CON__P13645	CON__P13645	"4;1"	"4;1"	"4;1"	>P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	2	4	4	4	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	1	11	11	11	59.51	593	"593;570"	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by recovery	5.9	2	3.5	5.6	2	2	45845000	15537000	5762700	10343000	6276200	3326000	4600200	1763300	597560	221640	397820	241390	127920	176930	15494000	0	0	0	0	0	2	0	2	1	1	0	6			+	5	"5291;8762;10633;13369"	"True;True;True;True"	"5325;8830;10711;13465"	"35070;57826;70338;70339;70340;70341;70342;70343;89487"	"49118;80061;97442;97443;97444;97445;125394"	"49118;80061;97445;125394"		
CON__P35527	CON__P35527	4	4	4	>P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9	1	4	4	4	4	4	3	2	2	1	4	4	3	2	2	1	4	4	3	2	2	1	13.8	13.8	13.8	62.129	623	623	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	13.8	13.8	9.8	5.1	5.1	1.4	159400000	47704000	35770000	56717000	9248200	0	9962100	6130800	1834800	1375800	2181400	355700	0	383160	45935000	41273000	52015000	0	0	0	6	6	6	3	2	1	24			+	6	"1522;2447;9006;11447"	"True;True;True;True"	"1533;2465;9074;11533"	"10772;10773;10774;16656;16657;16658;16659;16660;16661;59369;59370;59371;75999;76000;76001;76002;76003;76004"	"15557;15558;15559;15560;15561;23742;23743;23744;23745;23746;23747;23748;82178;82179;82180;82181;105502;105503;105504;105505;105506;105507;105508;105509;105510"	"15560;23742;82180;105503"		
CON__P35908	CON__P35908	"3;1;1;1;1;1;1;1"	"1;1;1;1;1;1;1;1"	"1;1;1;1;1;1;1;1"	>P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	8	3	1	1	3	3	3	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	5	1.9	1.9	65.865	645	"645;531;535;551;564;564;564;590"	0.0010147	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	5	5	5	3.1	5	5	47488000	7882300	11135000	9906800	6397800	5413200	6753000	1217700	202110	285520	254020	164050	138800	173150	0	0	0	0	0	6790800	2	2	2	1	0	1	8			+	7	"3389;5277;8480"	"False;False;True"	"3412;5311;8545"	"22887;22888;22889;22890;22891;34978;34979;34980;34981;34982;34983;34984;56068;56069;56070;56071;56072;56073;56074"	"32372;32373;32374;32375;49020;49021;49022;49023;49024;49025;77611;77612;77613;77614;77615;77616;77617;77618;77619"	"32373;49023;77618"		
CON__P62894	CON__P62894	2	1	1	>P62894 SWISS-PROT:P62894 Cytochrome c - Bos taurus (Bovine).	1	2	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	18.1	7.6	7.6	11.703	105	105	0.0022696	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	7.6	18.1	7.6	18.1	7.6	18.1	516120000	94024000	78250000	86915000	84315000	81195000	91418000	86020000	15671000	13042000	14486000	14053000	13533000	15236000	0	0	0	0	0	91930000	2	2	2	1	2	2	11			+	8	"2180;11334"	"True;False"	"2197;11420"	"14992;14993;14994;14995;14996;14997;75270;75271;75272"	"21373;21374;21375;21376;21377;21378;21379;21380;21381;21382;21383;104441"	"21377;104441"		
CON__Q2KIS7	CON__Q2KIS7	4	4	4	>Q2KIS7 SWISS-PROT:Q2KIS7 (Bos taurus) Tetranectin precursor	1	4	4	4	3	3	4	3	3	3	3	3	4	3	3	3	3	3	4	3	3	3	28.7	28.7	28.7	22.144	202	202	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	21.8	21.8	28.7	21.8	21.8	21.8	444120000	117080000	107910000	120400000	29969000	33820000	34936000	49347000	13009000	11991000	13378000	3329900	3757800	3881700	113170000	107160000	107380000	36233000	38760000	42047000	4	3	6	2	3	3	21			+	9	"2738;4070;8957;11241"	"True;True;True;True"	"2758;4097;9025;11327"	"18493;18494;18495;18496;18497;18498;27143;27144;27145;27146;27147;27148;27149;27150;27151;59083;74591;74592;74593;74594;74595;74596"	"26252;26253;26254;26255;26256;26257;38231;38232;38233;38234;38235;38236;38237;38238;38239;38240;38241;38242;38243;38244;81857;103343;103344;103345"	"26253;38242;81857;103345"		
